'goals','hat_y_g','hat_y_xG'
1.0,1.2875,0.7
1.0,1.472,1.6
1.0,1.562,1.6
2.0,1.82050,2.2
1.0,1.78850,2.0
0.0,1.1085,0.8
0.0,1.1265,0.8
3.0,2.0795,2.0
0.0,1.2845,0.8
0.0,3.006,3.1
2.0,1.47,2.6
1.0,2.132,2.3
1.0,1.6585,2.7
0.0,1.396,1.0
2.0,1.82198,2.2
0.0,1.2185,1.3
2.0,1.75100,2.2
2.0,1.29700,0.9
3.0,0.92699,0.7
1.0,1.17898,0.9
0.0,1.15200,0.5
3.0,2.0755,2.6
1.0,1.64898,2.2
1.0,1.16,1.4
2.0,1.81449,1.2
1.0,1.337,1.0
1.0,1.242,1.0
0.0,1.36849,1.5
1.0,1.057,0.6
1.0,1.91400,1.7
1.0,1.5665,1.3
1.0,2.075,2.2
1.0,1.18850,1.2
1.0,1.67898,2.2
2.0,1.1195,1.4
2.0,1.341,1.0
1.0,1.43698,0.9
0.0,1.70949,2.3
2.0,1.1995,1.0
1.0,1.35599,1.1
0.0,1.137,0.5
2.0,1.68449,2.1
1.0,1.3575,1.4
1.0,1.4595,1.8
3.0,1.859,1.5
1.0,1.3295,1.6
2.0,1.3545,1.0
3.0,1.05598,1.3
4.0,1.28100,1.5
2.0,1.3775,1.0
1.0,2.04949,2.6
1.0,1.46850,1.7
1.0,0.983,1.0
0.0,1.4625,1.4
1.0,1.61750,2.1
0.0,1.64849,2.4
2.0,1.332,1.4
2.0,1.92898,1.7
1.0,1.86900,2.9
4.0,1.96100,2.0
2.0,1.4405,1.0
2.0,1.1675,1.8
0.0,1.5725,1.9
1.0,1.358,1.4
5.0,1.7765,1.9
2.0,1.2395,1.1
2.0,1.80450,2.2
3.0,1.639,1.5
1.0,1.547,1.5
0.0,1.52,1.2
2.0,1.0585,2.0
1.0,1.83297,1.4
1.0,1.3255,1.8
1.0,1.59300,2.2
1.0,1.15649,1.5
1.0,1.3135,1.0
3.0,1.9835,2.3
2.0,1.37350,1.4
2.0,1.5585,1.2
0.0,1.4235,1.5
0.0,1.404,1.3
1.0,1.92550,1.5
1.0,1.7145,2.2
0.0,1.951,2.6
1.0,2.042,1.9
0.0,1.316,0.9
1.0,1.598,1.4
1.0,2.17449,1.2
2.0,1.22,1.2
1.0,1.13150,1.0
2.0,1.4505,1.4
1.0,1.80300,1.9
2.0,1.7015,2.0
5.0,1.17600,1.2
1.0,1.3305,1.8
1.0,1.74400,1.5
3.0,1.8605,1.7
2.0,2.232,1.6
2.0,2.1325,2.7
1.0,1.88350,2.0
2.0,1.072,0.6
0.0,1.3655,0.6
2.0,1.1185,1.0
1.0,1.64200,1.4
4.0,1.88050,1.9
2.0,2.00400,1.6
0.0,1.332,1.3
1.0,1.6425,2.1
2.0,1.24499,1.4
2.0,1.3,0.9
0.0,1.019,1.1
3.0,1.589,1.5
2.0,1.516,2.0
4.0,1.4665,2.2
1.0,1.3725,1.7
3.0,1.74050,2.1
2.0,0.91749,0.8
1.0,1.344,1.5
2.0,1.65600,2.2
3.0,1.4025,1.9
0.0,1.10750,1.0
1.0,0.982,1.1
1.0,1.2075,1.4
2.0,1.6265,1.2
0.0,1.64849,1.0
1.0,1.29,1.5
2.0,1.16400,1.0
2.0,0.98849,0.9
1.0,1.14,1.2
1.0,1.59599,1.6
2.0,1.137,1.0
0.0,1.64898,2.0
1.0,1.1745,1.2
2.0,1.5975,2.6
1.0,1.2215,2.5
2.0,1.518,1.8
1.0,1.2515,1.7
2.0,2.0985,2.2
1.0,2.0345,2.1
2.0,1.44898,1.3
1.0,1.102,1.5
1.0,1.43698,1.7
